Link,Headline,Details,Source
https://www.investors.com/market-trend/stock-market-today/stock-market-rally-rotation-coronavirus-cases-soar-qualcomm-buy-point-apple-stock/?src=A00220,"Stock Market Rally Rotation Over As Coronavirus Cases Soar? Qualcomm Near Buy Point; Apple, Microsoft, Amazon Look Tired",Nov-21-20 05:21PM,Investor's Business Daily
https://finance.yahoo.com/news/apple-trying-water-down-bill-182654305.html,Apple Is Trying To 'Water Down' Bill Against Forced Labor In China: Washington Post,01:26PM,Benzinga
https://www.fool.com/investing/2020/11/21/apple-cuts-the-little-guys-a-break-will-it-be-enou/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Apple Cuts the Little Guys a Break. Will It Be Enough?,11:00AM,Motley Fool
https://www.fool.com/investing/2020/11/21/3-incredibly-cheap-5g-tech-stocks/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,3 Incredibly Cheap 5G Tech Stocks,08:30AM,Motley Fool
https://www.fool.com/investing/2020/11/21/microsofts-growth-engine-is-firing-on-all-cylinder/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Microsoft's Growth Engine is Firing on All Cylinders,06:45AM,Motley Fool
https://finance.yahoo.com/news/inflation-may-pick-sharply-060002710.html,Inflation May Be About to Pick Up Sharply,01:00AM,Bloomberg
https://www.barrons.com/articles/emerging-market-stocks-attract-big-cash-inflows-51605922201?siteid=yhoof2,Retail Investors Pour Money Into China Funds,Nov-20-20 08:30PM,Barrons.com
https://finance.yahoo.com/news/apple-asks-court-keep-secrets-195318671.html,Apple to AT&T Wary of Full Disclosure in Google Antitrust Case,06:05PM,Bloomberg
https://www.fool.com/investing/2020/11/20/5-stocks-that-will-press-on/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,5 Stocks That Will Press On,05:13PM,Motley Fool
https://www.investopedia.com/slug-placeholder-5088517?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral,U.S. Equity Markets Continue to Fall as COVID-19 Cases Rise,04:47PM,Investopedia
https://www.investors.com/research/dow-jones-stocks/?src=A00220,"Dow Jones Stocks To Buy And Watch In November 2020: Apple, Microsoft Offer New Buy Points",04:38PM,Investor's Business Daily
https://finance.yahoo.com/news/apple-t-ask-tough-protection-212940852.html,"Apple, GroupM, others ask for tough protection for data in Google lawsuit",04:29PM,Reuters
https://finance.yahoo.com/news/apple-t-ask-tough-protection-212821124.html,"Apple, AT&T ask for tough protection for data in Google lawsuit",04:28PM,Reuters
https://www.investors.com/research/ibd-stock-of-the-day/qorvo-stock-forming-three-weeks-tight-pattern/?src=A00220,"Qorvo, IBD Stock Of The Day, Is Forming This Bullish Stock Chart Pattern",04:27PM,Investor's Business Daily
https://finance.yahoo.com/news/consumers-reacting-apples-iphone-12-203146369.html,How Consumers Are Reacting To Apple's iPhone 12 Lineup,03:31PM,Benzinga
https://www.investors.com/research/stock-picks-best-stocks-to-buy-and-watch/?src=A00220,"Stock Picks: Find The Best Growth Stocks To Buy With Lessons From Nvidia, Apple, Veeva",12:00PM,Investor's Business Daily
https://www.investors.com/market-trend/stock-market-today/dow-jones-stock-market-rally-coronavirus-restrictions-covid-vaccine-tesla-nio-stock/?src=A00220,"Dow Jones Falls Amid New Coronavirus Restrictions, Covid-19 Vaccine News; Nio, Tesla Eye Record Highs",11:53AM,Investor's Business Daily
